cluster_90_id	Dysp_0032	Dysp_0038	Dysp_0043	Dysp_0131	Dysp_0026	Dysp_0076	Dysp_0152	Dysp_0162	Dysp_0057	Dysp_0107	Dysp_0036	VMG_0041	VMG_0131	VMG_0022	Dysp_0175	VMG_0130	VMG_0123	VMG_0158	VMG_0155	VMG_0165	VMG_0171	VMG_0033	VMG_0072	VMG_0078	VMG_0048	VMG_0176	Dysp_0009	Dysp_0058	Dysp_0141	VMG_0016	VMG_0147	Dysp_0171	Dysp_0100	VMG_0058	Dysp_0034	Dysp_0170	Dysp_0061	Dysp_0114	Dysp_0031	Dysp_0167	VMG_0090	Dysp_0019	Dysp_0148	VMG_0092	Dysp_0063	VMG_0160	Dysp_0062	Dysp_0138	Dysp_0147	Dysp_0155	VMG_0037	Dysp_0135	Dysp_0086	Dysp_0074	VMG_0093	Dysp_0145	VMG_0108	VMG_0119	Dysp_0066	Dysp_0124	Dysp_0024	Dysp_0126	Dysp_0127	VMG_0177	Dysp_0039	Dysp_0054	VMG_0019	Dysp_0085	Dysp_0050	VMG_0023	VMG_0063	Dysp_0176	VMG_0062	Dysp_0166	Dysp_0121	VMG_0137	Dysp_0099	Dysp_0087	VMG_0136	VMG_0145	Dysp_0051	VMG_0106	Dysp_0071	Dysp_0053	Dysp_0156	Dysp_0011	Dysp_0174
GCF_001049775.1_00639	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	1	0	0	1	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1
GCF_000159235.2_00170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GCF_001049775.1_00814	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0
GCF_001049775.1_01012	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	1	0	1	1
GCF_001049775.1_00360	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_001049775.1_00648	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	1	0	0	1	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	0	1	1	1	0	1	1
GCF_000159235.2_00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
GCF_001562845.1_00670	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	1	1	0	1	1
GCF_001049775.1_00331	0	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0
GCF_001049775.1_01198	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	0	1	1	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	1
GCF_001049775.1_01137	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1
GCF_001562845.1_00673	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0
GCF_001049775.1_00647	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0
GCF_001049775.1_00631	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GCF_001562845.1_00215	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
GCF_001049775.1_01004	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1
GCF_001562845.1_00655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0
GCF_000159235.2_00599	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	1	1	0
GCF_001049775.1_00306	0	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0	1	1	0
GCF_001049775.1_00649	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	1	0	1	0	1	0	0	1
GCF_001562845.1_00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_001049775.1_00657	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	1	0	1	0	1	1	1	0	0	1	1	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	0	1	0	1	0	1	1
GCF_001049775.1_01286	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0
GCF_001049775.1_00300	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0
GCF_000159235.2_00797	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1
GCF_000159235.2_00154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
GCF_001562845.1_00898	0	1	1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GCF_000159235.2_00188	0	1	1	1	0	1	1	1	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	0
GCF_000159235.2_00150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GCF_001049775.1_00642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_001049775.1_00643	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	1	0	1	1
GCF_001562845.1_01004	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0
GCF_001562845.1_00315	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
GCF_001049775.1_00311	0	1	1	1	0	1	0	1	0	1	1	0	0	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	1	1	0	1	1	1	0	0	1	0	1	1	0	1	1	1
GCF_001562845.1_00650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GCF_001049775.1_01295	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_001049775.1_00308	0	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	1	1	0
GCF_001562845.1_00412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_001049775.1_00633	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	0	1	1
GCF_001562845.1_00962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_001562845.1_00202	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0
GCF_000159235.2_00874	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1
GCF_001562845.1_00664	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_001049775.1_00640	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
GCF_001049775.1_01190	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1
GCF_001049775.1_00646	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
GCF_000159235.2_00800	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1
GCF_000159235.2_00799	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1
GCF_000159235.2_00963	0	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0
GCF_001049775.1_01195	0	1	0	0	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	0	1	1	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	1	0	0	1	1	1	0	1	0	0	0	1	1	0	1
GCF_001562845.1_00204	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0
GCF_001562845.1_00198	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
GCF_001562845.1_00206	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0
GCF_001049775.1_00651	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GCF_001049775.1_00302	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	1	0	1	1	0	1	1	0
GCF_001562845.1_00201	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0
GCF_001049775.1_01009	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1
GCF_000159235.2_00796	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1
GCF_001049775.1_00652	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1
GCF_001049775.1_01100	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1
GCF_000159235.2_00907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_001049775.1_01199	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	0	1	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	0	0	1	1	1	0	1	0	0	0	1	1	0	1
GCF_001049775.1_01016	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0
GCF_001562845.1_00263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GCF_001562845.1_00205	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0
GCF_001049775.1_01230	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	1	1	0	1	1
GCF_001562845.1_00197	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
GCF_001562845.1_00108	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1
GCF_000159235.2_00187	0	1	1	1	0	1	1	1	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	0	0
GCF_001562845.1_00345	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	1	1	1
GCF_000159235.2_00334	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0	0
